release_id,fiscal_year,indicator_id,observed_cells,suppressed_cells,suppression_percentage,primary_bounded_cells,ambiguous_suppression_cells
No.1,2014,IND_5210011,47,0,0.0,0,0
No.1,2014,IND_5220026,3,44,93.62,0,44
No.1,2014,IND_5220034,2,45,95.74,0,45
No.1,2014,IND_5220035,31,16,34.04,0,16
No.1,2014,IND_5220045,0,47,100.0,0,47
No.1,2014,IND_5220057,4,43,91.49,0,43
No.1,2014,IND_5220058,41,6,12.77,0,6
No.1,2014,IND_5220061,21,26,55.32,0,26
No.1,2014,IND_5220063,47,0,0.0,0,0
No.1,2014,IND_5220064,43,4,8.51,0,4
No.1,2014,IND_5220067,45,2,4.26,0,2
No.1,2014,IND_5220069,18,29,61.7,0,29
No.1,2014,IND_5220070,11,36,76.6,0,36
No.1,2014,IND_5220072,35,12,25.53,0,12
No.1,2014,IND_5220074,24,23,48.94,0,23
No.1,2014,IND_5220075,10,37,78.72,0,37
No.1,2014,IND_5220077,1,46,97.87,0,46
No.1,2014,IND_5220078,0,47,100.0,0,47
No.1,2014,IND_5220082,37,10,21.28,0,10
No.1,2014,IND_5220084,0,47,100.0,0,47
No.1,2014,IND_5220085,6,41,87.23,0,41
No.1,2014,IND_5220089,36,11,23.4,0,11
No.1,2014,IND_5220091,2,45,95.74,0,45
No.1,2014,IND_5220093,5,42,89.36,0,42
No.1,2014,IND_5221012,47,0,0.0,0,0
No.1,2014,IND_5221013,47,0,0.0,0,0
No.1,2014,IND_5224011,40,7,14.89,0,7
No.1,2014,IND_5225001,26,21,44.68,0,21
No.1,2014,IND_5225006,47,0,0.0,0,0
No.1,2014,IND_5225012,45,2,4.26,0,2
No.1,2014,IND_5227001,0,47,100.0,0,47
No.1,2014,IND_5227005,17,30,63.83,0,30
No.1,2014,IND_5227011,13,34,72.34,0,34
No.1,2014,IND_5229014,0,47,100.0,0,47
No.1,2014,IND_5229015,43,4,8.51,0,4
No.1,2014,IND_5229016,39,8,17.02,0,8
No.1,2014,IND_5229018,34,13,27.66,0,13
No.1,2014,IND_5230001,21,26,55.32,0,26
No.1,2014,IND_5230004,1,46,97.87,0,46
No.1,2014,IND_5231003,12,35,74.47,0,35
No.1,2014,IND_5231014,9,38,80.85,0,38
No.1,2014,IND_5231017,6,41,87.23,0,41
No.1,2014,IND_5231018,47,0,0.0,0,0
No.1,2014,IND_5231027,45,2,4.26,0,2
No.1,2014,IND_5231029,47,0,0.0,0,0
No.1,2014,IND_5231039,21,26,55.32,0,26
No.1,2014,IND_5231042,0,47,100.0,0,47
No.1,2014,IND_5231044,12,35,74.47,0,35
No.1,2014,IND_5233004,47,0,0.0,0,0
No.1,2014,IND_5233007,27,20,42.55,0,20
No.1,2014,IND_5233008,47,0,0.0,0,0
No.1,2014,IND_5233009,47,0,0.0,0,0
No.1,2014,IND_5233010,47,0,0.0,0,0
No.1,2014,IND_5233014,2,45,95.74,0,45
No.1,2014,IND_5233027,47,0,0.0,0,0
No.1,2014,IND_5233028,20,27,57.45,0,27
No.1,2014,IND_5234009,47,0,0.0,0,0
