panel,release_id,fiscal_year,indicator_id,indicator_name,prefecture_code,prefecture_name,rate_lower_per_100k,rate_upper_per_100k,point_rate_per_100k,rank_best_possible,rank_worst_possible,ranking_status,suppression_subtype
A_rate_bounds,No.1,2014,IND_5210011,根充済み,01,北海道,270.0866,270.0866,270.0866,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,02,青森県,479.228,479.228,479.228,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,03,岩手県,69.8366,69.8366,69.8366,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,04,宮城県,110.839,110.839,110.839,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,05,秋田県,179.7524,179.7524,179.7524,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,06,山形県,328.1968,328.1968,328.1968,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,07,福島県,331.7564,331.7564,331.7564,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,08,茨城県,207.1806,207.1806,207.1806,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,09,栃木県,280.0901,280.0901,280.0901,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,10,群馬県,599.4851,599.4851,599.4851,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,11,埼玉県,194.4209,194.4209,194.4209,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,12,千葉県,82.1175,82.1175,82.1175,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,13,東京都,175.3509,175.3509,175.3509,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,14,神奈川県,195.1622,195.1622,195.1622,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,15,新潟県,5752.899,5752.899,5752.899,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,16,富山県,763.3231,763.3231,763.3231,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,17,石川県,81.5942,81.5942,81.5942,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,18,福井県,160.9668,160.9668,160.9668,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,19,山梨県,133.9715,133.9715,133.9715,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,20,長野県,713.8936,713.8936,713.8936,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,21,岐阜県,135.998,135.998,135.998,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,22,静岡県,205.1897,205.1897,205.1897,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,23,愛知県,102.5438,102.5438,102.5438,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,24,三重県,205.3274,205.3274,205.3274,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,25,滋賀県,122.7822,122.7822,122.7822,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,26,京都府,145.2278,145.2278,145.2278,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,27,大阪府,2244.8468,2244.8468,2244.8468,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,28,兵庫県,323.5293,323.5293,323.5293,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,29,奈良県,268.2109,268.2109,268.2109,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,30,和歌山県,313.335,313.335,313.335,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,31,鳥取県,119.1762,119.1762,119.1762,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,32,島根県,141.9924,141.9924,141.9924,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,33,岡山県,325.8587,325.8587,325.8587,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,34,広島県,182.9303,182.9303,182.9303,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,35,山口県,289.9491,289.9491,289.9491,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,36,徳島県,126.7241,126.7241,126.7241,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,37,香川県,675.071,675.071,675.071,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,38,愛媛県,298.8929,298.8929,298.8929,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,39,高知県,231.3833,231.3833,231.3833,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,40,福岡県,48.1035,48.1035,48.1035,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,41,佐賀県,59.8774,59.8774,59.8774,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,42,長崎県,307.9768,307.9768,307.9768,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,43,熊本県,145.812,145.812,145.812,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,44,大分県,121.0014,121.0014,121.0014,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,45,宮崎県,10.7709,10.7709,10.7709,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,46,鹿児島県,3032.7431,3032.7431,3032.7431,,,point_identified,not_suppressed
A_rate_bounds,No.1,2014,IND_5210011,根充済み,47,沖縄県,75.5878,75.5878,75.5878,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,01,北海道,264.9647,264.9647,264.9647,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,02,青森県,435.0507,435.0507,435.0507,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,03,岩手県,112.5537,112.5537,112.5537,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,04,宮城県,99.2049,99.2049,99.2049,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,05,秋田県,200.6565,200.6565,200.6565,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,06,山形県,339.6686,339.6686,339.6686,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,07,福島県,156.2535,156.2535,156.2535,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,08,茨城県,212.6372,212.6372,212.6372,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,09,栃木県,227.8861,227.8861,227.8861,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,10,群馬県,617.8233,617.8233,617.8233,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,11,埼玉県,191.2017,191.2017,191.2017,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,12,千葉県,93.4793,93.4793,93.4793,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,13,東京都,142.9646,142.9646,142.9646,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,14,神奈川県,175.0135,175.0135,175.0135,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,15,新潟県,5366.9802,5366.9802,5366.9802,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,16,富山県,877.4578,877.4578,877.4578,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,17,石川県,71.5059,71.5059,71.5059,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,18,福井県,137.6344,137.6344,137.6344,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,19,山梨県,65.9548,65.9548,65.9548,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,20,長野県,704.4411,704.4411,704.4411,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,21,岐阜県,110.2538,110.2538,110.2538,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,22,静岡県,206.2447,206.2447,206.2447,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,23,愛知県,76.2204,76.2204,76.2204,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,24,三重県,181.1812,181.1812,181.1812,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,25,滋賀県,105.7569,105.7569,105.7569,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,26,京都府,141.6174,141.6174,141.6174,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,27,大阪府,2355.2893,2355.2893,2355.2893,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,28,兵庫県,289.9628,289.9628,289.9628,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,29,奈良県,314.5833,314.5833,314.5833,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,30,和歌山県,259.6413,259.6413,259.6413,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,31,鳥取県,94.2272,94.2272,94.2272,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,32,島根県,85.6923,85.6923,85.6923,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,33,岡山県,377.5311,377.5311,377.5311,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,34,広島県,169.832,169.832,169.832,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,35,山口県,371.5716,371.5716,371.5716,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,36,徳島県,155.3957,155.3957,155.3957,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,37,香川県,498.8121,498.8121,498.8121,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,38,愛媛県,184.0434,184.0434,184.0434,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,39,高知県,19.97,19.97,19.97,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,40,福岡県,24.6522,24.6522,24.6522,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,41,佐賀県,48.6792,48.6792,48.6792,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,42,長崎県,155.0118,155.0118,155.0118,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,43,熊本県,117.3786,117.3786,117.3786,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,44,大分県,127.281,127.281,127.281,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,45,宮崎県,17.5624,17.5624,17.5624,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,46,鹿児島県,1933.5055,1933.5055,1933.5055,,,point_identified,not_suppressed
A_rate_bounds,No.10,2023,IND_5210011,根充済み,47,沖縄県,164.1008,164.1008,164.1008,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,01,北海道,260.8765,260.8765,260.8765,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,02,青森県,437.9399,437.9399,437.9399,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,03,岩手県,119.214,119.214,119.214,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,04,宮城県,93.194,93.194,93.194,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,05,秋田県,217.7258,217.7258,217.7258,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,06,山形県,350.8408,350.8408,350.8408,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,07,福島県,106.0241,106.0241,106.0241,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,08,茨城県,224.6971,224.6971,224.6971,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,09,栃木県,214.9072,214.9072,214.9072,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,10,群馬県,678.5185,678.5185,678.5185,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,11,埼玉県,193.0851,193.0851,193.0851,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,12,千葉県,93.729,93.729,93.729,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,13,東京都,140.45,140.45,140.45,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,14,神奈川県,166.5257,166.5257,166.5257,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,15,新潟県,5350.4526,5350.4526,5350.4526,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,16,富山県,864.995,864.995,864.995,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,17,石川県,78.5064,78.5064,78.5064,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,18,福井県,123.6806,123.6806,123.6806,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,19,山梨県,75.7269,75.7269,75.7269,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,20,長野県,719.7282,719.7282,719.7282,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,21,岐阜県,109.238,109.238,109.238,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,22,静岡県,211.7664,211.7664,211.7664,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,23,愛知県,74.9598,74.9598,74.9598,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,24,三重県,167.0368,167.0368,167.0368,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,25,滋賀県,105.9201,105.9201,105.9201,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,26,京都府,157.6587,157.6587,157.6587,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,27,大阪府,2345.7919,2345.7919,2345.7919,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,28,兵庫県,292.9361,292.9361,292.9361,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,29,奈良県,314.9416,314.9416,314.9416,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,30,和歌山県,260.5682,260.5682,260.5682,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,31,鳥取県,100.565,100.565,100.565,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,32,島根県,76.0125,76.0125,76.0125,,,point_identified,not_suppressed
