release_id,fiscal_year,indicator_id,indicator_name,prefecture_code,prefecture_name,cell_state,suppression_subtype,observed_count,count_lower,count_upper,bounds_status,ambiguity_flag
No.1,2014,IND_5210011,根充済み,01,北海道,observed,not_suppressed,14585.0,14585.0,14585.0,point_identified,no
No.1,2014,IND_5210011,根充済み,02,青森県,observed,not_suppressed,6331.0,6331.0,6331.0,point_identified,no
No.1,2014,IND_5210011,根充済み,03,岩手県,observed,not_suppressed,897.0,897.0,897.0,point_identified,no
No.1,2014,IND_5210011,根充済み,04,宮城県,observed,not_suppressed,2580.0,2580.0,2580.0,point_identified,no
No.1,2014,IND_5210011,根充済み,05,秋田県,observed,not_suppressed,1864.0,1864.0,1864.0,point_identified,no
No.1,2014,IND_5210011,根充済み,06,山形県,observed,not_suppressed,3711.0,3711.0,3711.0,point_identified,no
No.1,2014,IND_5210011,根充済み,07,福島県,observed,not_suppressed,6421.0,6421.0,6421.0,point_identified,no
No.1,2014,IND_5210011,根充済み,08,茨城県,observed,not_suppressed,6047.0,6047.0,6047.0,point_identified,no
No.1,2014,IND_5210011,根充済み,09,栃木県,observed,not_suppressed,5546.0,5546.0,5546.0,point_identified,no
No.1,2014,IND_5210011,根充済み,10,群馬県,observed,not_suppressed,11846.0,11846.0,11846.0,point_identified,no
No.1,2014,IND_5210011,根充済み,11,埼玉県,observed,not_suppressed,14074.0,14074.0,14074.0,point_identified,no
No.1,2014,IND_5210011,根充済み,12,千葉県,observed,not_suppressed,5089.0,5089.0,5089.0,point_identified,no
No.1,2014,IND_5210011,根充済み,13,東京都,observed,not_suppressed,23479.0,23479.0,23479.0,point_identified,no
No.1,2014,IND_5210011,根充済み,14,神奈川県,observed,not_suppressed,17752.0,17752.0,17752.0,point_identified,no
No.1,2014,IND_5210011,根充済み,15,新潟県,observed,not_suppressed,133063.0,133063.0,133063.0,point_identified,no
No.1,2014,IND_5210011,根充済み,16,富山県,observed,not_suppressed,8166.0,8166.0,8166.0,point_identified,no
No.1,2014,IND_5210011,根充済み,17,石川県,observed,not_suppressed,943.0,943.0,943.0,point_identified,no
No.1,2014,IND_5210011,根充済み,18,福井県,observed,not_suppressed,1271.0,1271.0,1271.0,point_identified,no
No.1,2014,IND_5210011,根充済み,19,山梨県,observed,not_suppressed,1127.0,1127.0,1127.0,point_identified,no
No.1,2014,IND_5210011,根充済み,20,長野県,observed,not_suppressed,15059.0,15059.0,15059.0,point_identified,no
No.1,2014,IND_5210011,根充済み,21,岐阜県,observed,not_suppressed,2776.0,2776.0,2776.0,point_identified,no
No.1,2014,IND_5210011,根充済み,22,静岡県,observed,not_suppressed,7603.0,7603.0,7603.0,point_identified,no
No.1,2014,IND_5210011,根充済み,23,愛知県,observed,not_suppressed,7645.0,7645.0,7645.0,point_identified,no
No.1,2014,IND_5210011,根充済み,24,三重県,observed,not_suppressed,3748.0,3748.0,3748.0,point_identified,no
No.1,2014,IND_5210011,根充済み,25,滋賀県,observed,not_suppressed,1738.0,1738.0,1738.0,point_identified,no
No.1,2014,IND_5210011,根充済み,26,京都府,observed,not_suppressed,3790.0,3790.0,3790.0,point_identified,no
No.1,2014,IND_5210011,根充済み,27,大阪府,observed,not_suppressed,198344.0,198344.0,198344.0,point_identified,no
No.1,2014,IND_5210011,根充済み,28,兵庫県,observed,not_suppressed,17927.0,17927.0,17927.0,point_identified,no
No.1,2014,IND_5210011,根充済み,29,奈良県,observed,not_suppressed,3690.0,3690.0,3690.0,point_identified,no
No.1,2014,IND_5210011,根充済み,30,和歌山県,observed,not_suppressed,3043.0,3043.0,3043.0,point_identified,no
No.1,2014,IND_5210011,根充済み,31,鳥取県,observed,not_suppressed,684.0,684.0,684.0,point_identified,no
No.1,2014,IND_5210011,根充済み,32,島根県,observed,not_suppressed,989.0,989.0,989.0,point_identified,no
No.1,2014,IND_5210011,根充済み,33,岡山県,observed,not_suppressed,6270.0,6270.0,6270.0,point_identified,no
No.1,2014,IND_5210011,根充済み,34,広島県,observed,not_suppressed,5183.0,5183.0,5183.0,point_identified,no
No.1,2014,IND_5210011,根充済み,35,山口県,observed,not_suppressed,4083.0,4083.0,4083.0,point_identified,no
No.1,2014,IND_5210011,根充済み,36,徳島県,observed,not_suppressed,968.0,968.0,968.0,point_identified,no
No.1,2014,IND_5210011,根充済み,37,香川県,observed,not_suppressed,6623.0,6623.0,6623.0,point_identified,no
No.1,2014,IND_5210011,根充済み,38,愛媛県,observed,not_suppressed,4171.0,4171.0,4171.0,point_identified,no
No.1,2014,IND_5210011,根充済み,39,高知県,observed,not_suppressed,1707.0,1707.0,1707.0,point_identified,no
No.1,2014,IND_5210011,根充済み,40,福岡県,observed,not_suppressed,2449.0,2449.0,2449.0,point_identified,no
No.1,2014,IND_5210011,根充済み,41,佐賀県,observed,not_suppressed,500.0,500.0,500.0,point_identified,no
No.1,2014,IND_5210011,根充済み,42,長崎県,observed,not_suppressed,4270.0,4270.0,4270.0,point_identified,no
No.1,2014,IND_5210011,根充済み,43,熊本県,observed,not_suppressed,2616.0,2616.0,2616.0,point_identified,no
No.1,2014,IND_5210011,根充済み,44,大分県,observed,not_suppressed,1417.0,1417.0,1417.0,point_identified,no
No.1,2014,IND_5210011,根充済み,45,宮崎県,observed,not_suppressed,120.0,120.0,120.0,point_identified,no
No.1,2014,IND_5210011,根充済み,46,鹿児島県,observed,not_suppressed,50581.0,50581.0,50581.0,point_identified,no
No.1,2014,IND_5210011,根充済み,47,沖縄県,observed,not_suppressed,1074.0,1074.0,1074.0,point_identified,no
