release_id,fiscal_year,indicator_id,indicator_name,prefecture_code,prefecture_name,rate_lower_per_100k,rate_upper_per_100k,rank_best_possible,rank_worst_possible,rank_interval_width,ranking_status,ambiguity_context
No.1,2014,IND_5210011,根充済み,01,北海道,270.0866,270.0866,18.0,18.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,02,青森県,479.228,479.228,8.0,8.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,03,岩手県,69.8366,69.8366,44.0,44.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,04,宮城県,110.839,110.839,39.0,39.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,05,秋田県,179.7524,179.7524,27.0,27.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,06,山形県,328.1968,328.1968,10.0,10.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,07,福島県,331.7564,331.7564,9.0,9.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,08,茨城県,207.1806,207.1806,21.0,21.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,09,栃木県,280.0901,280.0901,17.0,17.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,10,群馬県,599.4851,599.4851,7.0,7.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,11,埼玉県,194.4209,194.4209,25.0,25.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,12,千葉県,82.1175,82.1175,41.0,41.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,13,東京都,175.3509,175.3509,28.0,28.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,14,神奈川県,195.1622,195.1622,24.0,24.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,15,新潟県,5752.899,5752.899,1.0,1.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,16,富山県,763.3231,763.3231,4.0,4.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,17,石川県,81.5942,81.5942,42.0,42.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,18,福井県,160.9668,160.9668,29.0,29.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,19,山梨県,133.9715,133.9715,34.0,34.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,20,長野県,713.8936,713.8936,5.0,5.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,21,岐阜県,135.998,135.998,33.0,33.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,22,静岡県,205.1897,205.1897,23.0,23.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,23,愛知県,102.5438,102.5438,40.0,40.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,24,三重県,205.3274,205.3274,22.0,22.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,25,滋賀県,122.7822,122.7822,36.0,36.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,26,京都府,145.2278,145.2278,31.0,31.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,27,大阪府,2244.8468,2244.8468,3.0,3.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,28,兵庫県,323.5293,323.5293,12.0,12.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,29,奈良県,268.2109,268.2109,19.0,19.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,30,和歌山県,313.335,313.335,13.0,13.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,31,鳥取県,119.1762,119.1762,38.0,38.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,32,島根県,141.9924,141.9924,32.0,32.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,33,岡山県,325.8587,325.8587,11.0,11.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,34,広島県,182.9303,182.9303,26.0,26.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,35,山口県,289.9491,289.9491,16.0,16.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,36,徳島県,126.7241,126.7241,35.0,35.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,37,香川県,675.071,675.071,6.0,6.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,38,愛媛県,298.8929,298.8929,15.0,15.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,39,高知県,231.3833,231.3833,20.0,20.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,40,福岡県,48.1035,48.1035,46.0,46.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,41,佐賀県,59.8774,59.8774,45.0,45.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,42,長崎県,307.9768,307.9768,14.0,14.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,43,熊本県,145.812,145.812,30.0,30.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,44,大分県,121.0014,121.0014,37.0,37.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,45,宮崎県,10.7709,10.7709,47.0,47.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,46,鹿児島県,3032.7431,3032.7431,2.0,2.0,0.0,stable_point_identified,
No.1,2014,IND_5210011,根充済み,47,沖縄県,75.5878,75.5878,43.0,43.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,01,北海道,264.9647,264.9647,14.0,14.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,02,青森県,435.0507,435.0507,8.0,8.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,03,岩手県,112.5537,112.5537,34.0,34.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,04,宮城県,99.2049,99.2049,37.0,37.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,05,秋田県,200.6565,200.6565,19.0,19.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,06,山形県,339.6686,339.6686,11.0,11.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,07,福島県,156.2535,156.2535,26.0,26.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,08,茨城県,212.6372,212.6372,17.0,17.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,09,栃木県,227.8861,227.8861,16.0,16.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,10,群馬県,617.8233,617.8233,6.0,6.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,11,埼玉県,191.2017,191.2017,20.0,20.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,12,千葉県,93.4793,93.4793,39.0,39.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,13,東京都,142.9646,142.9646,29.0,29.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,14,神奈川県,175.0135,175.0135,23.0,23.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,15,新潟県,5366.9802,5366.9802,1.0,1.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,16,富山県,877.4578,877.4578,4.0,4.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,17,石川県,71.5059,71.5059,42.0,42.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,18,福井県,137.6344,137.6344,31.0,31.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,19,山梨県,65.9548,65.9548,43.0,43.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,20,長野県,704.4411,704.4411,5.0,5.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,21,岐阜県,110.2538,110.2538,35.0,35.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,22,静岡県,206.2447,206.2447,18.0,18.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,23,愛知県,76.2204,76.2204,41.0,41.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,24,三重県,181.1812,181.1812,22.0,22.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,25,滋賀県,105.7569,105.7569,36.0,36.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,26,京都府,141.6174,141.6174,30.0,30.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,27,大阪府,2355.2893,2355.2893,2.0,2.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,28,兵庫県,289.9628,289.9628,13.0,13.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,29,奈良県,314.5833,314.5833,12.0,12.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,30,和歌山県,259.6413,259.6413,15.0,15.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,31,鳥取県,94.2272,94.2272,38.0,38.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,32,島根県,85.6923,85.6923,40.0,40.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,33,岡山県,377.5311,377.5311,9.0,9.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,34,広島県,169.832,169.832,24.0,24.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,35,山口県,371.5716,371.5716,10.0,10.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,36,徳島県,155.3957,155.3957,27.0,27.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,37,香川県,498.8121,498.8121,7.0,7.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,38,愛媛県,184.0434,184.0434,21.0,21.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,39,高知県,19.97,19.97,46.0,46.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,40,福岡県,24.6522,24.6522,45.0,45.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,41,佐賀県,48.6792,48.6792,44.0,44.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,42,長崎県,155.0118,155.0118,28.0,28.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,43,熊本県,117.3786,117.3786,33.0,33.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,44,大分県,127.281,127.281,32.0,32.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,45,宮崎県,17.5624,17.5624,47.0,47.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,46,鹿児島県,1933.5055,1933.5055,3.0,3.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,47,沖縄県,164.1008,164.1008,25.0,25.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,01,北海道,260.8765,260.8765,14.0,14.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,02,青森県,437.9399,437.9399,8.0,8.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,03,岩手県,119.214,119.214,31.0,31.0,0.0,stable_point_identified,
