release_id,fiscal_year,indicator_id,indicator_name,prefecture_code,prefecture_name,population,cell_state,suppression_subtype,count_lower,count_upper,rate_lower_per_100k,rate_upper_per_100k,rate_status
No.1,2014,IND_5210011,根充済み,01,北海道,5400120,observed,not_suppressed,14585.0,14585.0,270.0866,270.0866,point_identified
No.1,2014,IND_5210011,根充済み,02,青森県,1321083,observed,not_suppressed,6331.0,6331.0,479.228,479.228,point_identified
No.1,2014,IND_5210011,根充済み,03,岩手県,1284426,observed,not_suppressed,897.0,897.0,69.8366,69.8366,point_identified
No.1,2014,IND_5210011,根充済み,04,宮城県,2327700,observed,not_suppressed,2580.0,2580.0,110.839,110.839,point_identified
No.1,2014,IND_5210011,根充済み,05,秋田県,1036982,observed,not_suppressed,1864.0,1864.0,179.7524,179.7524,point_identified
No.1,2014,IND_5210011,根充済み,06,山形県,1130724,observed,not_suppressed,3711.0,3711.0,328.1968,328.1968,point_identified
No.1,2014,IND_5210011,根充済み,07,福島県,1935456,observed,not_suppressed,6421.0,6421.0,331.7564,331.7564,point_identified
No.1,2014,IND_5210011,根充済み,08,茨城県,2918710,observed,not_suppressed,6047.0,6047.0,207.1806,207.1806,point_identified
No.1,2014,IND_5210011,根充済み,09,栃木県,1980077,observed,not_suppressed,5546.0,5546.0,280.0901,280.0901,point_identified
No.1,2014,IND_5210011,根充済み,10,群馬県,1976029,observed,not_suppressed,11846.0,11846.0,599.4851,599.4851,point_identified
No.1,2014,IND_5210011,根充済み,11,埼玉県,7238933,observed,not_suppressed,14074.0,14074.0,194.4209,194.4209,point_identified
No.1,2014,IND_5210011,根充済み,12,千葉県,6197218,observed,not_suppressed,5089.0,5089.0,82.1175,82.1175,point_identified
No.1,2014,IND_5210011,根充済み,13,東京都,13389725,observed,not_suppressed,23479.0,23479.0,175.3509,175.3509,point_identified
No.1,2014,IND_5210011,根充済み,14,神奈川県,9096022,observed,not_suppressed,17752.0,17752.0,195.1622,195.1622,point_identified
No.1,2014,IND_5210011,根充済み,15,新潟県,2312973,observed,not_suppressed,133063.0,133063.0,5752.899,5752.899,point_identified
No.1,2014,IND_5210011,根充済み,16,富山県,1069796,observed,not_suppressed,8166.0,8166.0,763.3231,763.3231,point_identified
No.1,2014,IND_5210011,根充済み,17,石川県,1155720,observed,not_suppressed,943.0,943.0,81.5942,81.5942,point_identified
No.1,2014,IND_5210011,根充済み,18,福井県,789604,observed,not_suppressed,1271.0,1271.0,160.9668,160.9668,point_identified
No.1,2014,IND_5210011,根充済み,19,山梨県,841224,observed,not_suppressed,1127.0,1127.0,133.9715,133.9715,point_identified
No.1,2014,IND_5210011,根充済み,20,長野県,2109418,observed,not_suppressed,15059.0,15059.0,713.8936,713.8936,point_identified
No.1,2014,IND_5210011,根充済み,21,岐阜県,2041207,observed,not_suppressed,2776.0,2776.0,135.998,135.998,point_identified
No.1,2014,IND_5210011,根充済み,22,静岡県,3705352,observed,not_suppressed,7603.0,7603.0,205.1897,205.1897,point_identified
No.1,2014,IND_5210011,根充済み,23,愛知県,7455351,observed,not_suppressed,7645.0,7645.0,102.5438,102.5438,point_identified
No.1,2014,IND_5210011,根充済み,24,三重県,1825377,observed,not_suppressed,3748.0,3748.0,205.3274,205.3274,point_identified
No.1,2014,IND_5210011,根充済み,25,滋賀県,1415515,observed,not_suppressed,1738.0,1738.0,122.7822,122.7822,point_identified
No.1,2014,IND_5210011,根充済み,26,京都府,2609693,observed,not_suppressed,3790.0,3790.0,145.2278,145.2278,point_identified
No.1,2014,IND_5210011,根充済み,27,大阪府,8835525,observed,not_suppressed,198344.0,198344.0,2244.8468,2244.8468,point_identified
No.1,2014,IND_5210011,根充済み,28,兵庫県,5541074,observed,not_suppressed,17927.0,17927.0,323.5293,323.5293,point_identified
No.1,2014,IND_5210011,根充済み,29,奈良県,1375783,observed,not_suppressed,3690.0,3690.0,268.2109,268.2109,point_identified
No.1,2014,IND_5210011,根充済み,30,和歌山県,971165,observed,not_suppressed,3043.0,3043.0,313.335,313.335,point_identified
No.1,2014,IND_5210011,根充済み,31,鳥取県,573940,observed,not_suppressed,684.0,684.0,119.1762,119.1762,point_identified
No.1,2014,IND_5210011,根充済み,32,島根県,696516,observed,not_suppressed,989.0,989.0,141.9924,141.9924,point_identified
No.1,2014,IND_5210011,根充済み,33,岡山県,1924147,observed,not_suppressed,6270.0,6270.0,325.8587,325.8587,point_identified
No.1,2014,IND_5210011,根充済み,34,広島県,2833320,observed,not_suppressed,5183.0,5183.0,182.9303,182.9303,point_identified
No.1,2014,IND_5210011,根充済み,35,山口県,1408178,observed,not_suppressed,4083.0,4083.0,289.9491,289.9491,point_identified
No.1,2014,IND_5210011,根充済み,36,徳島県,763864,observed,not_suppressed,968.0,968.0,126.7241,126.7241,point_identified
No.1,2014,IND_5210011,根充済み,37,香川県,981082,observed,not_suppressed,6623.0,6623.0,675.071,675.071,point_identified
No.1,2014,IND_5210011,根充済み,38,愛媛県,1395483,observed,not_suppressed,4171.0,4171.0,298.8929,298.8929,point_identified
No.1,2014,IND_5210011,根充済み,39,高知県,737737,observed,not_suppressed,1707.0,1707.0,231.3833,231.3833,point_identified
No.1,2014,IND_5210011,根充済み,40,福岡県,5091106,observed,not_suppressed,2449.0,2449.0,48.1035,48.1035,point_identified
No.1,2014,IND_5210011,根充済み,41,佐賀県,835040,observed,not_suppressed,500.0,500.0,59.8774,59.8774,point_identified
No.1,2014,IND_5210011,根充済み,42,長崎県,1386468,observed,not_suppressed,4270.0,4270.0,307.9768,307.9768,point_identified
No.1,2014,IND_5210011,根充済み,43,熊本県,1794091,observed,not_suppressed,2616.0,2616.0,145.812,145.812,point_identified
No.1,2014,IND_5210011,根充済み,44,大分県,1171061,observed,not_suppressed,1417.0,1417.0,121.0014,121.0014,point_identified
No.1,2014,IND_5210011,根充済み,45,宮崎県,1114109,observed,not_suppressed,120.0,120.0,10.7709,10.7709,point_identified
No.1,2014,IND_5210011,根充済み,46,鹿児島県,1667830,observed,not_suppressed,50581.0,50581.0,3032.7431,3032.7431,point_identified
No.1,2014,IND_5210011,根充済み,47,沖縄県,1420865,observed,not_suppressed,1074.0,1074.0,75.5878,75.5878,point_identified
No.1,2014,IND_5220077,血行性歯髄炎,01,北海道,5400120,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,02,青森県,1321083,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,03,岩手県,1284426,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,04,宮城県,2327700,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,05,秋田県,1036982,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,06,山形県,1130724,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,07,福島県,1935456,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,08,茨城県,2918710,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,09,栃木県,1980077,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,10,群馬県,1976029,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,11,埼玉県,7238933,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,12,千葉県,6197218,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,13,東京都,13389725,observed,not_suppressed,106.0,106.0,0.7917,0.7917,point_identified
No.1,2014,IND_5220077,血行性歯髄炎,14,神奈川県,9096022,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,15,新潟県,2312973,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,16,富山県,1069796,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,17,石川県,1155720,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,18,福井県,789604,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,19,山梨県,841224,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,20,長野県,2109418,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,21,岐阜県,2041207,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,22,静岡県,3705352,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,23,愛知県,7455351,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,24,三重県,1825377,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,25,滋賀県,1415515,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,26,京都府,2609693,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,27,大阪府,8835525,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,28,兵庫県,5541074,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,29,奈良県,1375783,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,30,和歌山県,971165,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,31,鳥取県,573940,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,32,島根県,696516,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,33,岡山県,1924147,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,34,広島県,2833320,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,35,山口県,1408178,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,36,徳島県,763864,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,37,香川県,981082,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,38,愛媛県,1395483,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,39,高知県,737737,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,40,福岡県,5091106,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,41,佐賀県,835040,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,42,長崎県,1386468,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,43,熊本県,1794091,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,44,大分県,1171061,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,45,宮崎県,1114109,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,46,鹿児島県,1667830,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_5220077,血行性歯髄炎,47,沖縄県,1420865,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,01,北海道,5400120,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,02,青森県,1321083,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,03,岩手県,1284426,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,04,宮城県,2327700,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,05,秋田県,1036982,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,06,山形県,1130724,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,07,福島県,1935456,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,08,茨城県,2918710,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,09,栃木県,1980077,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,10,群馬県,1976029,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,11,埼玉県,7238933,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,12,千葉県,6197218,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,13,東京都,13389725,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,14,神奈川県,9096022,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,15,新潟県,2312973,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,16,富山県,1069796,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,17,石川県,1155720,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,18,福井県,789604,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,19,山梨県,841224,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,20,長野県,2109418,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,21,岐阜県,2041207,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,22,静岡県,3705352,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,23,愛知県,7455351,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,24,三重県,1825377,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,25,滋賀県,1415515,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,26,京都府,2609693,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,27,大阪府,8835525,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,28,兵庫県,5541074,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,29,奈良県,1375783,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,30,和歌山県,971165,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,31,鳥取県,573940,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,32,島根県,696516,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,33,岡山県,1924147,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.1,2014,IND_8843319,限局型若年性歯周炎,34,広島県,2833320,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
