fiscal_year,population_year_or_date,prefecture_code,prefecture_name,population,source_name,source_path_or_url,denominator_definition,notes
2014,2014-10-01,01,北海道,5400120,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,02,青森県,1321083,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,03,岩手県,1284426,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,04,宮城県,2327700,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,05,秋田県,1036982,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,06,山形県,1130724,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,07,福島県,1935456,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,08,茨城県,2918710,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,09,栃木県,1980077,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,10,群馬県,1976029,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,11,埼玉県,7238933,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,12,千葉県,6197218,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,13,東京都,13389725,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,14,神奈川県,9096022,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,15,新潟県,2312973,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,16,富山県,1069796,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,17,石川県,1155720,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,18,福井県,789604,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,19,山梨県,841224,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,20,長野県,2109418,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,21,岐阜県,2041207,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,22,静岡県,3705352,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
